NO.,Time,Value,Pressure
???果:, Maximum:422N, Minimum:0N, Average:18.82N
969,오후 6:47:34,0 N,0.0000MPa
968,오후 6:47:34,0 N,0.0000MPa
967,오후 6:47:34,0 N,0.0000MPa
966,오후 6:47:33,0 N,0.0000MPa
965,오후 6:47:33,0 N,0.0000MPa
964,오후 6:47:33,0 N,0.0000MPa
963,오후 6:47:33,0 N,0.0000MPa
962,오후 6:47:33,0 N,0.0000MPa
961,오후 6:47:33,0 N,0.0000MPa
960,오후 6:47:32,0 N,0.0000MPa
959,오후 6:47:32,0 N,0.0000MPa
958,오후 6:47:32,0 N,0.0000MPa
957,오후 6:47:32,0 N,0.0000MPa
956,오후 6:47:32,0 N,0.0000MPa
955,오후 6:47:31,0 N,0.0000MPa
954,오후 6:47:31,0 N,0.0000MPa
953,오후 6:47:31,0 N,0.0000MPa
952,오후 6:47:31,0 N,0.0000MPa
951,오후 6:47:31,0 N,0.0000MPa
950,오후 6:47:30,0 N,0.0000MPa
949,오후 6:47:30,0 N,0.0000MPa
948,오후 6:47:30,0 N,0.0000MPa
947,오후 6:47:30,0 N,0.0000MPa
946,오후 6:47:30,0 N,0.0000MPa
945,오후 6:47:29,0 N,0.0000MPa
944,오후 6:47:29,0 N,0.0000MPa
943,오후 6:47:29,0 N,0.0000MPa
942,오후 6:47:29,0 N,0.0000MPa
941,오후 6:47:29,0 N,0.0000MPa
940,오후 6:47:28,0 N,0.0000MPa
939,오후 6:47:28,0 N,0.0000MPa
938,오후 6:47:28,0 N,0.0000MPa
937,오후 6:47:28,0 N,0.0000MPa
936,오후 6:47:28,0 N,0.0000MPa
935,오후 6:47:28,0 N,0.0000MPa
934,오후 6:47:27,0 N,0.0000MPa
933,오후 6:47:27,0 N,0.0000MPa
932,오후 6:47:27,0 N,0.0000MPa
931,오후 6:47:27,0 N,0.0000MPa
930,오후 6:47:27,0 N,0.0000MPa
929,오후 6:47:26,0 N,0.0000MPa
928,오후 6:47:26,0 N,0.0000MPa
927,오후 6:47:26,0 N,0.0000MPa
926,오후 6:47:26,0 N,0.0000MPa
925,오후 6:47:26,0 N,0.0000MPa
924,오후 6:47:25,0 N,0.0000MPa
923,오후 6:47:25,0 N,0.0000MPa
922,오후 6:47:25,0 N,0.0000MPa
921,오후 6:47:25,0 N,0.0000MPa
920,오후 6:47:25,0 N,0.0000MPa
919,오후 6:47:25,0 N,0.0000MPa
918,오후 6:47:24,0 N,0.0000MPa
917,오후 6:47:24,0 N,0.0000MPa
916,오후 6:47:24,0 N,0.0000MPa
915,오후 6:47:24,0 N,0.0000MPa
914,오후 6:47:24,0 N,0.0000MPa
913,오후 6:47:23,0 N,0.0000MPa
912,오후 6:47:23,0 N,0.0000MPa
911,오후 6:47:23,0 N,0.0000MPa
910,오후 6:47:23,0 N,0.0000MPa
909,오후 6:47:23,0 N,0.0000MPa
908,오후 6:47:22,0 N,0.0000MPa
907,오후 6:47:22,0 N,0.0000MPa
906,오후 6:47:22,0 N,0.0000MPa
905,오후 6:47:22,0 N,0.0000MPa
904,오후 6:47:22,0 N,0.0000MPa
903,오후 6:47:22,0 N,0.0000MPa
902,오후 6:47:21,0 N,0.0000MPa
901,오후 6:47:21,0 N,0.0000MPa
900,오후 6:47:21,0 N,0.0000MPa
899,오후 6:47:21,0 N,0.0000MPa
898,오후 6:47:21,0 N,0.0000MPa
897,오후 6:47:20,0 N,0.0000MPa
896,오후 6:47:20,0 N,0.0000MPa
895,오후 6:47:20,0 N,0.0000MPa
894,오후 6:47:20,0 N,0.0000MPa
893,오후 6:47:20,0 N,0.0000MPa
892,오후 6:47:19,0 N,0.0000MPa
891,오후 6:47:19,0 N,0.0000MPa
890,오후 6:47:19,0 N,0.0000MPa
