NO.,Time,Value,Pressure
???果:, Maximum:349N, Minimum:0N, Average:34.76N
458,오후 9:13:55,0 N,0.0000MPa
457,오후 9:13:55,0 N,0.0000MPa
456,오후 9:13:54,0 N,0.0000MPa
455,오후 9:13:54,0 N,0.0000MPa
454,오후 9:13:54,0 N,0.0000MPa
453,오후 9:13:54,0 N,0.0000MPa
452,오후 9:13:54,0 N,0.0000MPa
451,오후 9:13:54,0 N,0.0000MPa
450,오후 9:13:53,0 N,0.0000MPa
449,오후 9:13:53,0 N,0.0000MPa
448,오후 9:13:53,0 N,0.0000MPa
447,오후 9:13:53,0 N,0.0000MPa
446,오후 9:13:53,0 N,0.0000MPa
445,오후 9:13:52,0 N,0.0000MPa
444,오후 9:13:52,0 N,0.0000MPa
443,오후 9:13:52,0 N,0.0000MPa
442,오후 9:13:52,0 N,0.0000MPa
441,오후 9:13:52,0 N,0.0000MPa
440,오후 9:13:51,0 N,0.0000MPa
439,오후 9:13:51,0 N,0.0000MPa
438,오후 9:13:51,0 N,0.0000MPa
437,오후 9:13:51,0 N,0.0000MPa
436,오후 9:13:51,0 N,0.0000MPa
435,오후 9:13:50,0 N,0.0000MPa
434,오후 9:13:50,0 N,0.0000MPa
433,오후 9:13:50,0 N,0.0000MPa
432,오후 9:13:50,0 N,0.0000MPa
431,오후 9:13:50,0 N,0.0000MPa
430,오후 9:13:50,0 N,0.0000MPa
429,오후 9:13:49,0 N,0.0000MPa
428,오후 9:13:49,0 N,0.0000MPa
427,오후 9:13:49,0 N,0.0000MPa
426,오후 9:13:49,0 N,0.0000MPa
425,오후 9:13:49,0 N,0.0000MPa
424,오후 9:13:48,0 N,0.0000MPa
423,오후 9:13:48,0 N,0.0000MPa
422,오후 9:13:48,0 N,0.0000MPa
421,오후 9:13:48,0 N,0.0000MPa
420,오후 9:13:48,0 N,0.0000MPa
419,오후 9:13:47,0 N,0.0000MPa
418,오후 9:13:47,0 N,0.0000MPa
417,오후 9:13:47,0 N,0.0000MPa
416,오후 9:13:47,0 N,0.0000MPa
415,오후 9:13:47,0 N,0.0000MPa
414,오후 9:13:47,0 N,0.0000MPa
413,오후 9:13:46,0 N,0.0000MPa
412,오후 9:13:46,0 N,0.0000MPa
411,오후 9:13:46,0 N,0.0000MPa
410,오후 9:13:46,0 N,0.0000MPa
409,오후 9:13:46,0 N,0.0000MPa
408,오후 9:13:45,0 N,0.0000MPa
407,오후 9:13:45,0 N,0.0000MPa
406,오후 9:13:45,0 N,0.0000MPa
405,오후 9:13:45,0 N,0.0000MPa
404,오후 9:13:45,0 N,0.0000MPa
403,오후 9:13:44,0 N,0.0000MPa
402,오후 9:13:44,0 N,0.0000MPa
401,오후 9:13:44,0 N,0.0000MPa
400,오후 9:13:44,0 N,0.0000MPa
399,오후 9:13:44,0 N,0.0000MPa
398,오후 9:13:44,0 N,0.0000MPa
397,오후 9:13:43,0 N,0.0000MPa
396,오후 9:13:43,0 N,0.0000MPa
395,오후 9:13:43,0 N,0.0000MPa
394,오후 9:13:43,0 N,0.0000MPa
393,오후 9:13:43,0 N,0.0000MPa
392,오후 9:13:42,0 N,0.0000MPa
391,오후 9:13:42,0 N,0.0000MPa
390,오후 9:13:42,0 N,0.0000MPa
389,오후 9:13:42,0 N,0.0000MPa
388,오후 9:13:42,0 N,0.0000MPa
387,오후 9:13:41,0 N,0.0000MPa
386,오후 9:13:41,0 N,0.0000MPa
385,오후 9:13:41,0 N,0.0000MPa
384,오후 9:13:41,0 N,0.0000MPa
383,오후 9:13:41,0 N,0.0000MPa
382,오후 9:13:41,0 N,0.0000MPa
381,오후 9:13:40,0 N,0.0000MPa
380,오후 9:13:40,0 N,0.0000MPa
379,오후 9:13:40,0 N,0.0000MPa
378,오후 9:13:40,0 N,0.0000MPa
377,오후 9:13:40,0 N,0.0000MPa
376,오후 9:13:39,7 N,7.0000MPa
375,오후 9:13:39,38 N,38.0000MPa
374,오후 9:13:39,98 N,98.0000MPa
