step,time_s,contact_force_N,crank_rpm
0,0.002000,0.000000,3.6307
1,0.004000,0.000000,8.3684
2,0.006000,0.000000,11.8774
3,0.008000,0.000000,12.7510
4,0.010000,0.000000,11.5467
5,0.012000,0.000000,9.7234
6,0.014000,0.000000,8.4066
7,0.016000,0.000000,8.0232
8,0.018000,0.000000,8.3986
9,0.020000,0.000000,9.0673
10,0.022000,0.000000,9.5734
11,0.024000,0.000000,9.7025
12,0.026000,0.000000,9.5158
13,0.028000,0.000000,9.2193
14,0.030000,0.000000,9.0038
15,0.032000,0.000000,8.9630
16,0.034000,0.000000,9.0326
17,0.036000,0.000000,9.1517
18,0.038000,0.000000,9.2458
19,0.040000,0.000000,9.2742
20,0.042000,0.000000,9.2467
21,0.044000,0.000000,9.2004
22,0.046000,0.000000,9.1611
23,0.048000,0.000000,9.1361
24,0.050000,0.000000,9.1353
25,0.052000,0.000000,9.1527
26,0.054000,0.000000,9.1742
27,0.056000,0.000000,9.1888
28,0.058000,0.000000,9.1916
29,0.060000,0.000000,9.1852
30,0.062000,0.000000,9.1747
31,0.064000,0.000000,9.1650
32,0.066000,0.000000,9.1605
33,0.068000,0.000000,9.1618
34,0.070000,0.000000,9.1665
35,0.072000,0.000000,9.1715
36,0.074000,0.000000,9.1742
37,0.076000,0.000000,9.1740
38,0.078000,0.000000,9.1716
39,0.080000,0.000000,9.1684
40,0.082000,0.000000,9.1659
41,0.084000,0.000000,9.1650
42,0.086000,0.000000,9.1654
43,0.088000,0.000000,9.1665
44,0.090000,0.000000,9.1675
45,0.092000,0.000000,9.1677
46,0.094000,0.000000,9.1672
47,0.096000,0.000000,9.1661
48,0.098000,0.000000,9.1651
49,0.100000,0.000000,9.1643
50,0.102000,0.000000,9.1639
51,0.104000,0.000000,9.1639
52,0.106000,0.000000,9.1639
53,0.108000,0.000000,9.1638
54,0.110000,0.000000,9.1636
55,0.112000,0.000000,9.1631
56,0.114000,0.000000,9.1626
57,0.116000,0.000000,9.1621
58,0.118000,0.000000,9.1616
59,0.120000,0.000000,9.1613
60,0.122000,0.000000,9.1611
61,0.124000,0.000000,9.1608
62,0.126000,0.000000,9.1605
63,0.128000,0.000000,9.1602
64,0.130000,0.000000,9.1598
65,0.132000,0.000000,9.1594
66,0.134000,0.000000,9.1590
67,0.136000,0.000000,9.1587
68,0.138000,0.000000,9.1583
69,0.140000,0.000000,9.1580
70,0.142000,0.000000,9.1577
71,0.144000,0.000000,9.1573
72,0.146000,0.000000,9.1570
73,0.148000,0.000000,9.1566
74,0.150000,0.000000,9.1563
75,0.152000,0.000000,9.1559
76,0.154000,0.000000,9.1556
77,0.156000,0.000000,9.1552
78,0.158000,0.000000,9.1549
79,0.160000,0.000000,9.1545
80,0.162000,0.000000,9.1542
81,0.164000,0.000000,9.1539
82,0.166000,0.000000,9.1535
83,0.168000,0.000000,9.1532
84,0.170000,0.000000,9.1528
85,0.172000,0.000000,9.1525
86,0.174000,0.000000,9.1521
87,0.176000,0.000000,9.1518
88,0.178000,0.000000,9.1514
89,0.180000,0.000000,9.1511
90,0.182000,0.000000,9.1507
91,0.184000,0.000000,9.1504
92,0.186000,0.000000,9.1500
93,0.188000,0.000000,9.1497
94,0.190000,0.000000,9.1493
95,0.192000,0.000000,9.1490
96,0.194000,0.000000,9.1487
97,0.196000,0.000000,9.1483
98,0.198000,0.000000,9.1480
99,0.200000,0.000000,9.1476
100,0.202000,0.000000,9.1473
101,0.204000,0.000000,9.1469
102,0.206000,0.000000,9.1466
103,0.208000,0.000000,9.1462
104,0.210000,0.000000,9.1459
