step,time_s,contact_force_N,crank_rpm
0,0.002000,0.000000,12.6995
1,0.004000,0.000000,20.2385
2,0.006000,0.000000,24.6226
3,0.008000,0.000000,26.1264
4,0.010000,0.000000,25.5955
5,0.012000,0.000000,24.1905
6,0.014000,0.000000,22.8332
7,0.016000,0.000000,22.0165
8,0.018000,0.000000,21.6268
9,0.020000,0.000000,21.4896
10,0.022000,0.000000,21.4777
11,0.024000,0.000000,21.4928
12,0.026000,0.000000,21.4798
13,0.028000,0.000000,21.4247
14,0.030000,0.000000,21.3385
15,0.032000,0.000000,21.2414
16,0.034000,0.000000,21.1493
17,0.036000,0.000000,21.0703
18,0.038000,0.000000,21.0049
19,0.040000,0.000000,20.9494
20,0.042000,0.000000,20.8995
21,0.044000,0.000000,20.8516
22,0.046000,0.000000,20.8039
23,0.048000,0.000000,20.7559
24,0.050000,0.000000,20.7079
25,0.052000,0.000000,20.6603
26,0.054000,0.000000,20.6133
27,0.056000,0.000000,20.5671
28,0.058000,0.000000,20.5216
29,0.060000,0.000000,20.4767
30,0.062000,0.000000,20.4322
31,0.064000,0.000000,20.3880
32,0.066000,0.000000,20.3441
33,0.068000,0.000000,20.3004
34,0.070000,0.000000,20.2570
35,0.072000,0.000000,20.2139
36,0.074000,0.000000,20.1710
37,0.076000,0.000000,20.1284
38,0.078000,0.000000,20.0860
39,0.080000,0.000000,20.0439
40,0.082000,0.000000,20.0021
41,0.084000,0.000000,19.9604
42,0.086000,0.000000,19.9190
43,0.088000,0.000000,19.8779
44,0.090000,0.000000,19.8370
45,0.092000,0.000000,19.7962
46,0.094000,0.000000,19.7558
47,0.096000,0.000000,19.7155
48,0.098000,0.000000,19.6755
49,0.100000,0.000000,19.6357
50,0.102000,0.000000,19.5962
51,0.104000,0.000000,19.5568
52,0.106000,0.000000,19.5177
53,0.108000,0.000000,19.4788
54,0.110000,0.000000,19.4401
55,0.112000,0.000000,19.4016
56,0.114000,0.000000,19.3634
57,0.116000,0.000000,19.3253
58,0.118000,0.000000,19.2875
59,0.120000,0.000000,19.2499
60,0.122000,0.000000,19.2125
61,0.124000,0.000000,19.1753
62,0.126000,0.000000,19.1383
63,0.128000,0.000000,19.1015
64,0.130000,0.000000,19.0649
65,0.132000,0.000000,19.0285
66,0.134000,0.000000,18.9924
67,0.136000,0.000000,18.9564
68,0.138000,0.000000,18.9207
69,0.140000,0.000000,18.8851
70,0.142000,0.000000,18.8497
